,excercise_name,utility,mechanics,force,preparation,execution,comments,dynamic_articulation,static_articulation
10,Back Pedal,[],[],[],Stand facing away from running lane with foot planted back. Bend over at hips with legs and arms bent.,['Run backward through running lane while keeping torso bent over. Keep upright and land on balls of feet.'],Perform Back Pedal on open area with even surface to avoid accidents. Consider setting up pathway of unobtrusive markers to guide runner.,"['Hip (Extension)', 'Spine (Rotation)', 'Hip (Flexion)', 'Knee (Flexion)', 'Ankle (Plantar Flexion)', 'Knee (Extension)', 'Ankle (Dorsal Flexion)']","['Hip (Abduction)', 'Spine (Lateral Flexion)', 'Spine (Extension)']"
11,Bear Crawl,[],[],[],"Kneel on hands and knees facing crawling path. Raise knees off of floor, but keep hips low.","['Crawl forward while keeping hips low.', 'Intensity is normally increased by crawling faster. Although not commonly performed, crawling up long incline surface (eg: grassy hill side) would also make exercise more challenging. Also see somewhat similar movement on machine: Ladder Mill.']","Intensity is normally increased by crawling faster. Although not commonly performed, crawling up long incline surface (eg: grassy hill side) would also make exercise more challenging. Also see somewhat similar movement on machine: Ladder Mill.","['Hip (Extension)', 'Shoulder (Flexion)', 'Spine (Rotation)', 'Hip (Flexion)', 'Scapula & Clavicle (Upward Rotation)', 'Ankle (Plantar Flexion)', 'Knee (Extension)', 'Scapula & Clavicle (Downward Rotation)', 'Shoulder (Extension)']","['Hip (Transverse Abduction)', 'Spine (Flexion)', 'Shoulder (Transverse Adduction / Flexion)', 'Shoulder (Transverse Abduction / Extension)', 'Scapula & Clavicle (Protraction)', 'Elbow (Extension)']"
12,Butt Kick,[],[],[],Lean forward slightly with staggered stance. Bend arms to sides.,"['Jog while pulling heels up high towards glutes. Keep body upright with head up, arms to sides, and hands relaxed. Continue until specific distance is covered or desired number of kicks have been completed.', 'This drill can be used as either Dynamic Stretch and Warm-up or running drill. For more of a dynamic stretch for quadriceps, pull heels back with thighs more perpendicular. This Dynamic Stretch can performed before athletic events or sports training session. As running drill, pull heels up with knees pointing forward. Performed as running drill, it can increase hamstring awareness and stride efficiency. It can also be used as speed drill when performed quickly.']","This drill can be used as either Dynamic Stretch and Warm-up or running drill. For more of a dynamic stretch for quadriceps, pull heels back with thighs more perpendicular. This Dynamic Stretch can performed before athletic events or sports training session. As running drill, pull heels up with knees pointing forward. Performed as running drill, it can increase hamstring awareness and stride efficiency. It can also be used as speed drill when performed quickly.","['Scapula (Upward Rotation)', 'Hip (Extension)', 'Shoulder (Flexion)', 'Spine (Rotation)', 'Hip (Flexion)', 'Knee (Flexion)', 'Shoulder (Extension / Hyperextension)', 'Ankle (Plantar Flexion)', 'Knee (Extension)', 'Scapula (Downward Rotation)']","['Hip (Abduction)', 'Spine (Lateral Flexion)']"
13,Crab Walk,[],[],[],Sit on floor facing direction of crawling path. Place arms back to each side and bend knees so hands and feet are on floor. Raise hips off of floor.,"['Crawl forward through crawling path.', 'Standard hand position is typically pointing out to sides, however, hands can also point back as shown. Intensity is normally increased by crawling faster. Although not commonly performed, crawling up long incline surfaces (eg: grassy hill side) would also make exercise more challenging. Also see Crab Walk traveling backward.']","Standard hand position is typically pointing out to sides, however, hands can also point back as shown. Intensity is normally increased by crawling faster. Although not commonly performed, crawling up long incline surfaces (eg: grassy hill side) would also make exercise more challenging. Also see Crab Walk traveling backward.","['Shoulder (Flexion)', 'Hip (Flexion)', 'Knee (Flexion)', 'Knee (Extension)', 'Shoulder (Hyperextension)']","['Hip (Extension)', 'Spine (Extension)', 'Spine (Rotation)', 'Shoulder (Transverse Abduction)', 'Scapula & Clavicle (Retraction)', 'Scapula & Clavicle (Downward Rotation)', 'Elbow (Extension)', 'Wrist (Flexion)', 'Wrist (Extension)', 'Ankle (Plantar Flexion)', 'Ankle (Dorsal Flexion (eccentric))']"
14,Crab Walk (backward),[],[],[],Sit on floor facing away from direction of crawling path. Place arms back to each side and bend knees so hands and feet are on floor. Raise hips off of floor.,"['Crawl backward through crawling path.', 'Standard hand position is typically pointing out to sides, however, hands can also point back as shown. Intensity is normally increased by crawling faster. Although not commonly performed, crawling up long incline surfaces (eg: grassy hillsides) would also make exercise more challenging. Also see Crab Walk traveling forward.']","Standard hand position is typically pointing out to sides, however, hands can also point back as shown. Intensity is normally increased by crawling faster. Although not commonly performed, crawling up long incline surfaces (eg: grassy hillsides) would also make exercise more challenging. Also see Crab Walk traveling forward.","['Shoulder (Flexion)', 'Hip (Flexion)', 'Knee (Flexion)', 'Knee (Extension)', 'Shoulder (Hyperextension)', 'Ankle (Dorsal Flexion)']","['Hip (Extension)', 'Spine (Extension)', 'Spine (Rotation)', 'Shoulder (Transverse Abduction)', 'Scapula & Clavicle (Retraction)', 'Scapula & Clavicle (Downward Rotation)', 'Elbow (Extension)', 'Wrist (Flexion)', 'Wrist (Extension)', 'Ankle (Plantar Flexion (eccentric))']"
15,Grapevine,[],[],[],"Stand with right side facing intended path, feet slightly apart and knees slightly bent.","['Hop off of left foot and step right foot slightly forward and to right of where left foot was placed. As right forefoot makes contact with ground, step left leg behind right foot. Hop up off of ground with left foot and pull right leg back underbody while pulling left knee up high. Hop up off of right foot and step left foot across front of where right foot was placed. Continue movement pattern to desired point or duration by crossing trailing leg over, stepping back into place, crossing trailing leg behind, and stepping back into place. If desired, repeat in the opposite direction so that left leg leads.']","The Grapevine is a lateral movement drill typically used as warm-up drill. The movement involves moving sideways with feet crossing in front and behind each other. Keep knees bent, shoulders relaxed, and head up. Start slow and build up pace. Intensity may be increased by performing drill more quickly. Also known as Carioca.","['Hip (Adduction)', 'Scapula (Protraction)', 'Hip (Extension)', 'Shoulder (Flexion)', 'Spine (Rotation)', 'Shoulder (Adduction)', 'Scapula (Retraction)', 'Hip (Internal Rotation)', 'Knee (Extension)', 'Ankle (Plantar Flexion)', 'Shoulder (Transverse Extension)', 'Hip (External Rotation)', 'Scapula (Downward Rotation)', 'Scapula (Upward Rotation)', 'Shoulder (Transverse Flexion)', 'Shoulder (Extension / Hyperextension)', 'Hip (Abduction)', 'Shoulder (Abduction)']","['Spine (Lateral Flexion)', 'Spine (Extension)']"
16,High Knee Run,[],[],[],Stand with left front slightly in front of other foot. Lean forward and place left arm back and right arm forward.,"['Lift right knee high and step forward while swinging left arm up and right arm back. Propel body upward and forward by extending left leg. Lower right leg while beginning to raise left knee while pulling left arm back and right arm forward. Land on extended right leg. Continue movement on opposite side, alternating quickly between sides.', 'This movement can serve as Warm-up and Dynamic Stretch before sports participation or sports conditioning workout. Land and push off on forefeet.']",This movement can serve as Warm-up and Dynamic Stretch before sports participation or sports conditioning workout. Land and push off on forefeet.,"['Scapula (Upward Rotation)', 'Hip (Extension)', 'Shoulder (Flexion)', 'Spine (Rotation)', 'Hip (Flexion)', 'Knee (Flexion)', 'Shoulder (Extension / Hyperextension)', 'Ankle (Plantar Flexion)', 'Knee (Extension)', 'Scapula (Downward Rotation)']","['Hip (Abduction)', 'Spine (Lateral Flexion)']"
17,Lateral Shuffle,[],[],[],"Stand with right side facing intended path in athletic position: wide stance with knees, hips, and arms bent, chest up.",['Step sideways in direction of intended path with right leg. Sidestep with left leg and push off second side step with right leg before landing left leg. Continue for shuffling pattern to desired point.'],Start slow and build up pace. Intensity is normally increased by shuffling faster or taking wider strides so that plant of trailing foot occurs beyond point at which leading foot had just left. Also known as Side Shuffle.,"['Hip (Adduction)', 'Hip (Extension)', 'Hip (Abduction)', 'Knee (Extension)', 'Ankle (Plantar Flexion)', 'Hip (External Rotation)']","['Spine (Lateral Flexion)', 'Spine (Extension)']"
18,Skip,[],[],[],Stand facing direction of intended path bent.,"['Take a leaping step forward with first leg and plant foot on floor. Bring second leg forward and kick knee high so that first leg leaves floor, allowing whole body to be thrown upward and forward. Plant foot of first leg on floor as second time while second leg still remains up with knee bent. Step forward with second leg and repeat sequence on opposite side. Continue bounding and hopping pattern, alternating between sides to desired point.']","Arms move in sync with skip, particularly when knee is thrown upward, opposite arm lifts forward. Start with modest skips when beginning. Intensity is increased by bounding and hopping higher and further.","['Hip (Extension)', 'Spine (Rotation)', 'Hip (Flexion)', 'Knee (Extension)', 'Ankle (Plantar Flexion)']","['Hip (Abduction)', 'Spine (Lateral Flexion)', 'Ankle (eccentric) (Dorsal Flexion)']"
19,Sprint to Turn,[],[],[],"Lean forward with staggered stance, left leg bent forward and right leg and hips slightly bent behind body. Extend left arm back alongside body and bend right arm under shoulder. Push off explosively with both legs.","['Sprint and attempt to accelerate as quickly as possible toward turn-around line or cone. Decelerate just before crossing line or approaching cone. Run around cone or quickly change direction immediately after crossing line. Sprint back to starting point, again attempt to accelerate as quickly as possible. Sprint without further deceleration until passing over initial starting line.']","Sprinting on balls of feet, as opposed to toes, creates maximum push off on ground and forward acceleration. During the acceleration phase, keep foot’s point of contact slightly behind center of mass. Overstriding in acceleration phase places foot’s point of contact too far forward thereby slowing speed. Therefore begin with slightly shorter steps while extending length and speed of each stride throughout acceleration phase. During deceleration phase, heels can make initial contact with ground.","['Scapula (Upward Rotation)', 'Hip (Extension)', 'Ankle (Eversion)', 'Shoulder (Flexion)', 'Spine (Rotation)', 'Hip (Flexion)', 'Shoulder (Extension / Hyperextension)', 'Ankle (Plantar Flexion)', 'Knee (Extension)', 'Ankle (Inversion)', 'Foot (Plantar Flexion)', 'Scapula (Downward Rotation)']","['Hip (Abduction)', 'Spine (Lateral Flexion)', 'Ankle (eccentric during deceleration) (Dorsal Flexion)']"
20,Tapioca,[],[],[],"Stand with right side facing intended path, feet slightly apart and knees slightly bent. Begin to pull right arm back and extend left arm forward. Bend and turn right leg outward, positioning heel off ground momentarily.","['Begin to pull left arm back and extend right arm forward. Place right foot on ground so foot points outward while placing bend leg left inward in front of right leg. While lifting heel of right foot, place left foot on ground in front of right foot so both feet point to right. Begin to pull right arm back and extend left arm forward. Rotate right leg inward then hop and turn on left foot landing on forefoot with both legs together with knees and feet pointing to left. Step left foot back behind right foot. Begin to pull right arm back and extend left arm forward. Hop up from left rear foot and pull right leg back landing on forefoot while lifting left leg forward. Repeat movement pattern to desired distance or duration. If desired, repeat in the opposite direction so that the left leg leads.']","Tapioca is a lateral movement drill which can be used as warm-up drill. The movement involves shuffling sideways while rotating lower body from side with arms swinging in opposition. Keep knees bent, shoulders relaxed, and head up. Start slow and build up pace. Intensity may be increased by performing drill more quickly. Also see Grapevine or Carioca.","['Hip (Adduction)', 'Scapula (Protraction)', 'Hip (Extension)', 'Shoulder (Flexion)', 'Spine (Rotation)', 'Shoulder (Adduction)', 'Scapula (Retraction)', 'Hip (Internal Rotation)', 'Knee (Extension)', 'Ankle (Plantar Flexion)', 'Shoulder (Transverse Extension)', 'Hip (External Rotation)', 'Scapula (Downward Rotation)', 'Scapula (Upward Rotation)', 'Shoulder (Transverse Flexion)', 'Shoulder (Extension / Hyperextension)', 'Hip (Abduction)', 'Shoulder (Abduction)']","['Spine (Lateral Flexion)', 'Spine (Extension)']"
21,Jump Rope: Alternating Leg Hop,[],[],[],Grasp jump rope handles on each side. Initiate side swing mount or start with rope behind body and swing rope from behind over head.,"['Swing rope in front of body, down to floor. Hop on one leg as rope travels under foot and repeat with same foot. Alternate successive hops between opposite foot. Repeat.']","Hop heights should be minimal, just enough to clear the rope, maximize jump rope efficiency, and decrease joint impact. Intensity can be altered by increasing speed of hops.","['Hip (Extension)', 'Knee (Extension)', 'Ankle (Plantar Flexion)']","['Hip (Abduction)', 'Hip (Flexion)']"
22,Jump Rope: Boxer Step,[],[],[],Grasp jump rope handles on each side. Initiate side swing mount or start with rope behind body and swing rope from behind overhead.,"['Swing rope in front of body, down to floor. Hop up as rope travels under foot and land over to left side, left foot lands then right foot touches. Swing rope around body and hop over rope again landing to right side, right foot lands then left foot touches. Continue jumps hopping side to side.']","This movement is different from Skier Step since both feet do not make contact with ground simultaneously. Hop heights should be minimal, just enough to clear rope, maximize jump rope efficiency, and decrease joint impact. Intensity can be altered by increasing speed of hops.","['Hip (Extension)', 'Spine (Thoracic, Lumbar) (Lateral Flexion)', 'Hip (Flexion)', 'Ankle (Plantar Flexion)', 'Knee (Extension)', 'Hip (Abduction)']",[]
23,Jump Rope: Basic Hop,[],[],[],"Grasp jump rope handles on each side. Initiate side swing mount or start with rope behind body and swing rope from behind overhead. Body weight should be balanced on the balls of the feet, with knees slightly bent.","['Swing rope in front of body, down to floor. Hop as rope travels under feet, and repeat.']","Hop heights should be minimal, just enough to clear the rope, maximize jump rope efficiency, and decrease joint impact. Intensity can be altered by increasing speed of hops. Also see side view.","['Hip (Extension)', 'Knee (Extension)', 'Ankle (Plantar Flexion)']",[]
24,Jump Rope: Criss Cross,[],[],[],Grasp jump rope handles on each side. Initiate side swing mount or start with rope behind body and swing rope from behind over head.,"['As rope travels forward in front of body, cross arms downward in front of hips and jump over rope. Keep arms crossed while rope swings up behind body. As rope travels forward in front of body, uncross arms back out to sides and jump over rope and repeat.']","Hop heights should be minimal, just enough to clear rope, maximize jump rope efficiency, and decrease joint impact. Intensity can be altered by increasing speed of hops.","['Hip (Extension)', 'Shoulder (Internal Rotation)', 'Hip (Flexion)', 'Ankle (Plantar Flexion)', 'Shoulder (External Rotation)', 'Knee (Extension)']",[]
25,Jump Rope: Single Leg Criss Cross,[],[],[],Grasp jump rope handles on each side. Initiate side swing mount or start with rope behind body and swing rope from behind overhead. Stand on one foot (base foot) with other foot up off of floor.,"['As rope travels forward in front of body, cross arms downward in front of hips and jump over rope with base foot. Keep arms crossed while rope swings up behind body. As rope travels forward in front of body, uncross arms back out to sides and jump over rope with base foot and repeat.']","Change base foot periodically. Alternating base foot every swing, would be referred to as 'Jog Step Criss Cross'. Hop heights should be minimal, just enough to clear rope, maximize jump rope efficiency, and decrease joint impact. Intensity can be altered by increasing speed of hops.","['Hip (Extension)', 'Shoulder (External Rotation)', 'Knee (Extension)', 'Ankle (Plantar Flexion)', 'Shoulder (Internal Rotation)']","['Hip (Abduction)', 'Hip (Flexion)']"
26,Jump Rope: Double Under,[],[],[],Grasp jump rope handles on each side. Initiate side swing mount or start with rope behind body and swing rope from behind overhead.,['Jump and swiftly swing rope around body and under feet twice before landing. Repeat.'],Intensity can be altered by increasing speed or height of hops.,"['Hip (Extension)', 'Hip (Flexion)', 'Ankle (Plantar Flexion)', 'Knee (Flexion)', 'Knee (Extension)']",[]
27,Jump Rope: Heel Tap,[],[],[],"Grasp jump rope handles on each side. Initiate side swing mount or start with rope behind body and swing rope from behind overhead. Continue swinging rope front of body, down to floor.",[],"Heel tap may also be performed without first hop, going directly into heel tap without intermediate step. Hop heights should be minimal, just enough to clear the rope, maximize jump rope efficiency, and decrease joint impact. Intensity can be altered by increasing speed of movement.","['Hip (Extension)', 'Hip (Flexion)', 'Ankle (Plantar Flexion)', 'Knee (Extension)', 'Ankle (Dorsal Flexion)']",['Hip (Abduction)']
28,Jump Rope: Jog Step,[],[],[],"Grasp jump rope handles on each side. Initiate side swing mount or start with rope behind body and swing rope from behind overhead. Swing rope in front of body, down to floor.","['Swing rope in front of body, down to floor. Hop on one leg as rope travels under foot. Repeat by alternating legs.']","Hop heights should be minimal, just enough to clear rope, maximize jump rope efficiency, and decrease joint impact. Intensity can be altered by increasing speed of hops.","['Ankle (Plantar Flexion)', 'Hip (Extension)', 'Knee (Extension)', 'Hip (Flexion)']",['Hip (Abduction)']
29,Jump Rope: Keltic Step,[],[],[],"Grasp jump rope handles on each side. Initiate side swing mount or start with rope behind body and swing rope from behind overhead. Continue swinging rope front of body, down to floor.",[],"Hop heights should be minimal, just enough to clear the rope, maximize jump rope efficiency, and decrease joint impact. Intensity can be altered by increasing speed of movement.","['Hip (Extension)', 'Hip (Flexion)', 'Knee (Flexion)', 'Hip (Internal Rotation)', 'Knee (Extension)', 'Ankle (Plantar Flexion)', 'Hip (External Rotation)']",['Hip (Abduction)']
30,Jump Rope: Side Swing,[],[],[],Grasp jump rope handles on each side.,"['Throw rope back and under to one side. As rope travels upward from behind then throw rope downward and front of body diagonally to opposite side. Pattern can be repeated on opposite side alternating between sides.', 'Mount', 'Side swing is used to initiate adequate revolution speed before initiating jumps. Just before rope swings downward in front of body, arms can separate to each side so rope travels under feet.']",Back swing can be initiated with one hand grasping both handles. Other hand can pickup up second handle near end of downward diagonal swing. Once begun pattern is repeated by throwing higher arm over lower arm. Side Swing can also be used to dismount at end of jumps.,"['Shoulder (Flexion)', 'Spine (Rotation)', 'Shoulder Girdle (Retraction)', 'Wrist (Flexion)', 'Shoulder (External Rotation)', 'Elbows (Flexion)', 'Shoulder Girdle (Downward Rotation)', 'Wrist (Radial Deviation)', 'Shoulder Girdle (Protraction)', 'Forearm (Pronation)', 'Shoulder Girdle (Upward Rotation)', 'Wrist (Ulna Deviation)', 'Elbows (Extension)', 'Shoulder (Internal Rotation)', 'Wrist (Extension)', 'Forearm (Supination)', 'Shoulder (Extension)']",[]
31,Jump Rope: Alternating Hop Side Swing,[],[],[],Grasp jump rope handles on each side. Initiate side swing alternating side to side.,"['Hop onto one leg, same side as swing. Hop on other leg, same side swing. Continue jump and swing pattern hopping side to side.']",Intensity can be altered by increasing speed of pattern.,"['Hip (Adduction)', 'Hip (Extension)', 'Hip (Flexion)', 'Spine (Thoracic, Lumbar) (Lateral Flexion)', 'Hip (Abduction)', 'Knee (Extension)', 'Ankle (Plantar Flexion)', 'Spine (Thoracic, Lumbar) (Rotation)']",[]
