,excercise_name,utility,mechanics,force,preparation,execution,comments,dynamic_articulation,static_articulation
11,Hang Clean,['Power'],['Compound'],['Pull'],Stand with barbell with overhand grip slightly wider than shoulder width. Feet point forward hip's width apart or slightly wider. Bend knees and hips so barbell touches mid-thigh; shoulders over bar with back arched. Arms are straight with elbows pointed along bar. Chest is spread and wrists are slightly flexed.,"['Jump upward extending body. Shrug shoulders and pull barbell upward with arms, allowing elbows to flex out to sides, keeping bar close to body. Aggressively pull body under bar, rotating elbows around bar. Catch bar on shoulders while moving into squat position. Hitting bottom of squat, stand up immediately.', 'Return', 'Bend knees slightly and lower barbell to mid-thigh position.']","Hook grip is used by advanced lifters to maintain grip during clean. Pull bar up in straight path, keeping bar close to body. Also known as Hang Squat Clean. Also see:","['Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Shoulder (Abduction)', 'Knee (Extension)', 'Shoulder (External Rotation)', 'Scapula & Clavicle (Elevation)']","['Spine (Thoracic, Lumbar) (Extension)']"
12,Hang Power Clean,['Power'],['Compound'],['Pull'],Stand with barbell with overhand grip slightly wider than shoulder width. Feet point forward hip's width apart or slightly wider. Bend knees and hips so barbell touches mid-thigh; shoulders over bar with back arched. Arms are straight with elbows pointed along bar. Chest is spread and wrists are slightly flexed.,"['Jump upward extending body. Shrug shoulders and pull barbell upward with arms, allowing elbows to flex out to sides, keeping bar close to body. Aggressively pull body under bar, rotating elbows around bar. Catch bar on shoulders before knees bend lower than 90°. Stand up immediately so thighs ride no lower than parallel to floor.', 'Return', 'Bend knees slightly and lower barbell to mid-thigh position.']","Hook grip is used by advanced lifters to maintain grip during clean. Pull bar up in straight path, keeping bar close to body. Also see:","['Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Shoulder (Abduction)', 'Knee (Extension)', 'Shoulder (External Rotation)', 'Scapula & Clavicle (Elevation)']","['Spine (Thoracic, Lumbar) (Extension)']"
13,High Pull,['Power'],['Compound'],['Pull'],Stand over barbell with balls of feet positioned under bar slightly wider apart than hip width. Squat down and grip bar with overhand grip slightly wider than shoulder width. Position shoulders over bar with back arched tightly. Arms are straight with elbows pointed along bar.,"['Pull bar up off floor by extending hips and knees. As bar reaches knees, vigorously raise shoulders while keeping barbell close to thighs, jump upward extending body. Flex elbows out to sides, pulling bar up to mid-chest height.', 'Return', 'Bend knees slightly and lower barbell to mid-thigh position. Slowly lower bar with taut lower back and trunk close to vertical. The advanced athlete may unload (drop) bar from completed position (as seen). This technique may be practiced to reduce stress or fatigue involved in lowering bar as prescribed. Use rubber weightlifting plates on weightlifting platform if this unloading method is used (unless floor demolition is desired).']","Pull bar up in straight path, keeping bar close to body. Also see movement in Slow Motion.","['Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Scapula & Clavicle (Upward Rotation)', 'Hip (Extension)', 'Shoulder (Abduction)', 'Knee (Extension)', 'Shoulder (External Rotation)', 'Scapula & Clavicle (Elevation)']","['Spine (Thoracic, Lumbar) (Extension)']"
14,Hang High Pull,['Power'],['Compound'],['Pull'],"Stand with barbell using overhand grip, slightly wider than shoulder width. Bend knees and hips so barbell touches mid-thigh, shoulders over bar with back arched. Arms are straight with elbows pointed along bar.","['Jump upward extending body. Shrug shoulders and pull barbell upward with arms, allowing elbows to flex out to sides. Pull bar upward to mid-chest height, keeping bar close to body.', 'Return', 'Lower bar and bend knees and hips slightly to absorb inpact of arms straightening and barbell falling to upper thighs. Immediately straightening knees and hips.']","Pull bar up in straight path, keeping bar close to body. Optional: Knees and hips can bend slightly as bar reaches upper chest. ","['Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Scapula & Clavicle (Upward Rotation)', 'Hip (Extension)', 'Shoulder (Abduction)', 'Knee (Extension)', 'Shoulder (External Rotation)', 'Scapula & Clavicle (Elevation)']","['Spine (Thoracic, Lumbar) (Extension)']"
15,Below Knee High Pull,['Power'],['Compound'],['Pull'],"Stand with barbell using overhand grip, slightly wider than shoulder width. With back arched, lower barbell by hinging through hips while bending knees until travels just below knees. Keep arms straight with elbows pointed along bar.","['Pull bar up by extending hips and straightening knees. As bar reaches knees, vigorously raise shoulders while keeping barbell close to thighs, jump upward extending body. Flex elbows out to sides, pulling bar upward to mid-chest height.', 'Return', 'Lower bar and bend knees and hips slightly to absorb impact of arms straightening and barbell falling to upper thighs. Immediately straightening knees and hips.']","Pull bar up in straight path, keeping bar close to body. Optional: Knees and hips can bend slightly as bar reaches upper chest.","['Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Scapula & Clavicle (Upward Rotation)', 'Hip (Extension)', 'Shoulder (Abduction)', 'Knee (Extension)', 'Shoulder (External Rotation)', 'Scapula & Clavicle (Elevation)']","['Spine (Thoracic, Lumbar) (Extension)']"
16,Jump Shrug,['Power'],['Compound'],['Pull'],Stand over barbell with balls of feet positioned under bar hip's width apart or slightly wider. Squat down and grip bar with overhand grip slightly wider than shoulder width. Position shoulders over bar with back arched tightly. Arms are straight with elbows pointed along bar. Chest is spread and wrists are slightly flexed.,"['Pull bar up off floor by extending hips and knees. Jump up as high as possible and shrug shoulders.', 'Return', 'Bend knees slightly and lower barbell to mid-thigh position. Slowly lower bar with taut lower back and trunk close to vertical.']",Jump Shrug is initial movement of Hang Clean. Also see movement in Slow Motion.,"['Hip (Extension)', 'Scapula & Clavicle (Elevation)', 'Ankle (Plantar Flexion)', 'Knee (Extension)']","['Spine (Thoracic, Lumbar) (Extension)']"
17,Hang Jump Shrug,['Power'],['Compound'],['Pull'],Stand with barbell with overhand grip slightly wider than shoulder width. Bend knees and hips slightly; shoulders over bar with back arched. Arms are straight with elbows pointed along bar.,"['Jump up and shrug shoulders.', 'Bend hip and slightly bed knees and return bar to thigh.', 'Also see movement in Slow Motion.', 'Dynamic', 'Static']",Also see movement in Slow Motion.,"['Hip (Extension)', 'Scapula & Clavicle (Elevation)', 'Ankle (Plantar Flexion)', 'Knee (Extension)']","['Spine (Thoracic, Lumbar) (Extension)']"
18,Push Press,['Power'],['Compound'],['Push'],"Grasp barbell from rack or clean barbell from floor with overhand grip, slightly wider than shoulder width. Position bar chest high with torso tight. Retract head back.","['Dip body by bending knees, hips and ankles slightly. Explosively drive upward with legs, driving barbell up off shoulders, vigorously extending arms overhead. Return to shoulders and repeat.']",Also see Slow Motion.,"['Elbow (Extension)', 'Ankle (Plantar Flexion)', 'Scapula & Clavicle (Upward Rotation)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Knee (Extension)', 'Shoulder (Abduction)']",[]
19,Push Press (behind neck),['Power'],['Compound'],['Push'],Position barbell on back of shoulders from rack or clean barbell from floor with overhand grip and push press bar to back of shoulders. Hands should be slightly wider than shoulder width with torso tight.,"['Dip body by bending knees, hips and ankles slightly. Explosively drive upward with legs, driving barbell up off back of shoulders, vigorously extending arms over head. Return to back of shoulders and repeat.']",Also see movement in Slow Motion.,"['Elbow (Extension)', 'Ankle (Plantar Flexion)', 'Knee (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Hip (Extension)', 'Shoulder (Abduction)']",[]
20,Split Jerk,['Power'],['Compound'],['Push'],"Grasp barbell from rack or clean barbell from floor with overhand grip, slightly wider than shoulder width. Position bar chest high with torso tight. Retract head back.","['Inhale and position chest high with torso tight. Keeping pressure on heels, dip body by bending knees and ankles slightly. Explosively drive upward with legs, driving barbell up off shoulders. Drop body downward and split one foot forward and other backward as fast as possible while vigorously extending arms over head.', ""The split position places front shin vertical to floor with front foot flat on floor. The rear knee is slightly bent with rear foot positioned on toes. The bar should be positioned directly over ears at arm's length with back straight. Push up with both legs. Position feet side by side by bringing front foot back part way and then rear foot forward. Return to shoulders and repeat.""]",The barbell is driven from shoulders to arms length over head. The lift is complete when feet are in line and bar is under control. Also see movement in Slow Motion.,"['Hip (Flexion)', 'Ankle (Plantar Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Shoulder (Abduction)', 'Elbow (Extension)', 'Knee (Extension)']",[]
21,Split Jerk (behind neck),['Power'],['Compound'],['Push'],Position barbell on back of shoulders from rack or clean barbell from floor with overhand grip and push press bar to back of shoulders.,"['Inhale with torso tight. Keeping pressure on heels, dip body by bending knees and ankles slightly. Explosively drive upward with legs, driving barbell up off back of shoulders. Drop body downward and split one foot forward and other backward as fast as possible while vigorously extending arms over head.', ""The split position places front shin vertical to floor with front foot flat on floor. The rear knee is slightly bent with rear foot positioned on toes. The bar should be positioned directly over ears at arm's length with back straight.Push up with both legs. Position feet side by side by bringing front foot back part way and then rear foot forward. Return to back of shoulders and repeat.""]",The barbell is driven from back of shoulders to arms length over head. The lift is complete when feet are in line and bar is under control. Also see movement in Slow Motion.,"['Hip (Flexion)', 'Ankle (Plantar Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Shoulder (Abduction)', 'Elbow (Extension)', 'Knee (Extension)']",[]
