,excercise_name,utility,mechanics,force,preparation,execution,comments,target_muscles,synergist_muscles,stabalizer_muscles,dynamic_stabilizer_muscles
11,Front Neck Bridge,"['Basic', 'Auxiliary']",['Isolated'],"['Push', 'Pull']",Kneel on all fours on well cushioned mat. Place head on mat between hands. Rise and straighten knees. Fold hands behind low back or hips.,Roll back onto forehead until nose touches mat. Roll forward onto top of head until chin touches upper chest. Repeat.,Exercise involves neck flexors as well as neck extensors. See controversial exercises.,['Sternocleidomastoid'],"['Splenius', 'Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers']","['Quadriceps', 'Erector Spinae', 'Rectus Abdominis', 'Obliques', 'Iliopsoas', 'Tensor Fasciae Latae', 'Sartorius', 'Gastrocnemius', 'Soleus']",[]
12,Wall Front Neck Bridge,"['Basic', 'Auxiliary']",['Isolated'],"['Push', 'Pull']","Place small or folded cushioned mat on wall or column approximately chest height. With hands supporting mat on each side, stand back so feet are away from wall or column with body leaning forward. Place top of forehead on mat. Fold hands behind low back or hips.",Roll down onto forehead until nose touches mat. Roll up onto top of head until chin touches upper chest. Repeat.,Keep body somewhat straight bending spine and hips slightly as head rolls down. Exercise involves neck flexors as well as neck extensors. See controversial exercises.,['Sternocleidomastoid'],"['Splenius', 'Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers']","['Rectus Abdominis', 'Obliques', 'Quadriceps']",[]
13,Wall Side Neck Bridge,['Auxiliary'],['Isolated'],['Pull'],"Place small or folded cushioned mat on column or at end of wall approximately shoulder height. With hands supporting mat, stand with side toward mat. Step far to side so feet are away from wall or column forward. Place side of head on mat with shoulder extending over end of adjacent side of column or wall so body leans to side. Fold hands behind low back or hips.",Push side of head into mat and roll onto top of head moving body away from mat. Return to original position by rolling back down to side of head while bringing shoulder back over end of column or wall. Repeat.,Keep body somewhat straight allowing waist to bend outward away from mat slightly at end of lift. See all muscle used in Lateral Flexion:,['Sternocleidomastoid'],[],"['Gluteus Medius', 'Gluteus Minimus']",[]
14,Suspended Neck Flexion,"['Basic', 'Auxiliary']",['Isolated'],['Pull'],Place belt or strap around end of suspension trainer. Face away from suspension trainer with belt in hand. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to back of mid-head. Step forward until suspension trainer is taut. Lean forward at angle against support of belt and suspension trainer by stepping back slightly while keeping head and body straight.,Increase angle of body by bowing head until chin touches upper chest. Lower angle of body by raising head. Repeat.,"This exercise can be performed with belt looped on TRXⓇ style suspension trainer or adjustable length gymnastics rings. Throughout movement, keep body straight and maintain tight grip on belt against back of mid-head throughout movement. Use neck to pull belt rather than allowing hand to assist. Clamping belt higher up further from base of skull will permit torque throughout fuller range of motion, particularly range of motion nearer full flexion.",['Sternocleidomastoid'],['None'],"['Rectus Abdominis', 'Obliques', 'Quadriceps']",[]
15,Suspended Lateral Neck Flexion,['Auxiliary'],['Isolated'],['Pull'],Place belt or strap around end of suspension trainer. Hold belt in hand and stand away from suspension trainer so it hangs to one side. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to head above ear closest to suspension trainer. Step further away from suspension trainer until it is taut. Lean away at angle against support of belt and suspension trainer by positioning feet closer to side of suspension trainer while keeping head and body straight.,Lower angle of body by tilting head to side of suspension trainer. Increase angle of body by tilting head away from side of suspension trainer. Repeat and continue in opposite position.,"This exercise can be performed with belt looped on TRXⓇ style suspension trainer or adjustable length gymnastics rings. Throughout movement, keep body straight and maintain tight grip on belt against side of head throughout movement. Use neck to pull belt rather than allowing hand to assist. ",['Sternocleidomastoid'],[],[],[]
16,Cable Neck Extension,"['Basic', 'Auxiliary']",['Isolated'],['Pull'],Sit on bench facing pulley. Place neck in harness cable attachment. Place forearms on lower thighs for support.,Move head away from pulley by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,No comment.,['Splenius'],"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Sternocleidomastoid, Posterior Fibers']","['Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Latissimus Dorsi', 'Rhomboids', 'Triceps Brachii']",[]
17,Cable Neck Extension (with belt),"['Basic', 'Auxiliary']",['Isolated'],['Pull'],"Sit on bench facing low pulley. Attach belt on low pulley cable by attaching carabiner on belt buckle. Place head in belt loop. With belt above ears, clamp belt snugly around head by tightly gripping ends close to forehead. Place other hand or forearm on lower thighs for support.",Pull head up and back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,"Use neck to pull belt rather than allowing hand to assist. Keep clinched grip on belt against forehead throughout movement. Woven cotton or cloth belts tend to slip less, particularly on bald head. If belt slips from head, place small towel between belt and head.",['Splenius'],"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Sternocleidomastoid, Posterior Fibers']","['Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Latissimus Dorsi', 'Rhomboids', 'Triceps Brachii', 'Erector Spinae', 'Gluteus Maximus']",[]
18,Lever Neck Extension (plate loaded),"['Basic', 'Auxiliary']",['Isolated'],['Pull'],Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support.,Move head back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,None,['Splenius'],"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Sternocleidomastoid, Posterior Fibers']","['Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Serratus Anterior', 'Deltoid, Anterior', 'Triceps Brachii']",[]
19,Lever Neck Extension,"['Basic', 'Auxiliary']",['Isolated'],['Pull'],Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support.,Move head back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,None,['Splenius'],"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Sternocleidomastoid, Posterior Fibers']","['Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Serratus Anterior', 'Deltoid, Anterior', 'Triceps Brachii']",[]
20,Weighted Lying Neck Extension,"['Basic', 'Auxiliary']",['Isolated'],['Pull'],"Lie prone on bench with head extended off of end and folded towel and weight plate(s) on floor. With both hands, place plate(s) on back of head with towel placed in between for comfort.",Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.,Balance weight on back of head with both hands throughout movement. Weight plate(s) can be tilted slightly to higher point on head to keep resistance slightly more consistent throughout movement. Tilt weight forward slightly at top and back slightly at bottom. Also see same movement with body lying perpendicular to bench.,['Splenius'],"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Sternocleidomastoid, Posterior Fibers']",['No significant stabilizers'],[]
21,Weighted Neck Extension,"['Basic', 'Auxiliary']",['Isolated'],['Pull'],"Kneel on side of bench with weight plates on end of bench. With both hands, hold weight plate(s) cushioned with towel. Position upper body prone and perpendicular on bench with head and arms extending off of side. With both hands, place weight plate(s) on back of head with towel placed in between for comfort.",Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.,Balance weight on back of head with both hands throughout movement. Weight plate(s) can be tilted slightly to higher point on head to keep resistance slightly more consistent throughout movement. Tilt weight slightly forward at top and back slightly at bottom. Also same see movement with body lying on bench.,['Splenius'],"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Sternocleidomastoid, Posterior Fibers']",['No significant stabilizers'],[]
22,Weighted Seated Neck Extension,"['Basic', 'Auxiliary']",['Isolated'],['Pull'],"Place folded towel on weight plate. On bench or stool, sit bent over on thighs. With both hands, place plate(s) on back of head with towel placed in between for comfort.",Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.,Balance weight on back of head with both hands throughout movement. Weight plate(s) can be tilted slightly to higher point on head to keep resistance slightly more consistent throughout movement. Tilt weight forward slightly at top and back slightly at bottom.,['Splenius'],"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Sternocleidomastoid, Posterior Fibers']",['No significant stabilizers'],[]
23,Weighted Neck Harness Extension,"['Basic', 'Auxiliary']",['Isolated'],['Pull'],Sit on bench with weighted neck harness on head. Allow weight to dangle in front by bending over.,Move head up by hyperextending neck. Return by bending neck down until chin touches upper chest. Repeat.,Exercise can also be performed by bending over with hands on bent knees.,['Splenius'],"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Sternocleidomastoid, Posterior Fibers']",['No significant stabilizers'],[]
24,Band Resistive Neck Retraction,['Auxiliary'],['Isolated'],['Pull'],"Execution
Push back of neck into band by retracting head. Returning head to neutral postion and repeat.",,This exercise may be prescribed for functional forward head posture since it strengthens Splenius without neck flexion. Neck retraction primarily consists of Cervical Flexion (spine) accompanied by subtle Thoracic Flexion (spine) and Neck Flexion (atlanto-occipital joint). Cervical spine has natural lordotic curvature (see diagram of spine). Much of the retraction motion is actually flattening or slight reversing the normal lordosis. The deep neck flexors perform majority of movement. Slight neck Flexion at the atlanto-occipital joint also occurs to maintain forward head positioning.,['Splenius'],[],"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Longus capitis', 'Longus colli', 'Rectus capitus']",[]
25,Rear Neck Bridge,"['Basic', 'Auxiliary']",['Isolated'],['Pull'],Lying supine on well cushioned mat. Position feet very close to hips. Raise buttocks and low back slightly off of floor and fold hands on abdomen.,Extend hips and knees while pushing head back into floor. Roll back on head while arching spine high off of floor. Hyperextend neck back in attempt to bring forehead toward mat. Return body to close to mat until back of head and shoulders make contact with mat. Repeat.,Also known as wrestler's bridge. See controversial exercises.,['Splenius'],"['Trapezius, Upper', 'Levator Scapulae', 'Sternocleidomastoid, Posterior Fibers', 'Erector Spinae', 'Gluteus Maximus', 'Quadriceps']",['No significant stabilizers'],[]
26,Wall Rear Neck Bridge,"['Basic', 'Auxiliary']",['Isolated'],['Pull'],Hold small or folded cushioned mat behind head. Facing away from wall or column position head and back of shoulders low on wall or column with mat between. Stand with feet far away from wall or column so body is angled back. Position hips and back straight and bend knees just slightly. Place arms to side or hold hands on abdomen.,Push head back into mat and roll head upward. Arch spine and straighten knees. Hyperextend neck so head is facing up. Return to original position by rolling head down while allowing low back to straighten and knees to bend slightly. Continue down until back of head and shoulders make contact with mat. Repeat.,See controversial exercises.,['Splenius'],"['Trapezius, Upper', 'Levator Scapulae', 'Sternocleidomastoid, Posterior Fibers', 'Erector Spinae', 'Quadriceps']",['Gluteus Maximus'],[]
27,Lying Neck Retraction Isometric,['Auxiliary'],['Isolated'],['Pull'],"Execution
Push head into mat and hold position. Relax and repeat.","This exercise may be prescribed for functional forward head posture since it strengthens Splenius without neck flexion. The stretch that occurs during complete neck flexion, may exacerbate forward head posture, particularly if neck flexion is held under load. Neck flexion normally occurs at end of eccentric portion of dynamic Splenius exercises.","This exercise may be prescribed for functional forward head posture since it strengthens Splenius without neck flexion. The stretch that occurs during complete neck flexion, may exacerbate forward head posture, particularly if neck flexion is held under load. Neck flexion normally occurs at end of eccentric portion of dynamic Splenius exercises.",['Splenius'],[],"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Longus capitis', 'Longus colli', 'Rectus capitus']",[]
28,Suspended Neck Extension,"['Basic', 'Auxiliary']",['Isolated'],['Pull'],Place belt or strap around end of suspension trainer. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to forehead. Step back facing direction of suspension trainer until it is taut. Lean back at angle against support of belt and suspension trainer by stepping forward slightly while keeping head and body straight.,Lower angle of body by bowing head until chin is near upper chest. Increase angle of body by raising head. Repeat.,"This exercise can be performed with belt looped on TRXⓇ style suspension trainer or adjustable length gymnastics rings. Throughout movement, keep body straight and maintain tight grip on belt against forehead. Use neck to pull belt rather than allowing hand to assist.",['Splenius'],"['Trapezius, Upper', 'Levator Scapulae', 'Sternocleidomastoid, Posterior Fibers']","['Erector Spinae', 'Gluteus Maximus', 'Hamstrings']",[]
